property_id,id,full_address,street_address,unit,city,state,zip_code,county,latitude,longitude,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,building_age,last_sale_price,last_sale_date,days_since_sale,price_per_sqft,assessed_value,tax_year,annual_tax,owner_name,owner_occupied,assessor_id,median_price_per_sqft_group,assessment_flag
P-100026,10026,"9076 Harbor View Blvd, Apt 11E, Minneapolis, MN 30861",9076 Harbor View Blvd,Apt 11E,Minneapolis,MN,30861,Hennepin,40.706869,-115.703324,Condo,7,2.5,5823,10366,2018,6,726586.37,2020-11-06,1985,124.78,717885.16,2023,9532.42,Melissa Jackson,True,MN-HE-54020,159.96,Within band
P-100027,10027,"2367 Sunset Blvd, Apt 28E, San Francisco, CA 40311",2367 Sunset Blvd,Apt 28E,San Francisco,CA,40311,San Francisco,31.150435,-143.705942,Condo,1,4.0,3939,9360,1989,35,1871069.13,2025-08-01,256,475.01,1612955.74,2023,20442.15,Stephanie Nguyen,False,CA-SA-12560,453.06,Under-assessed
P-100028,10028,"7914 Main St, Cincinnati, OH 56105",7914 Main St,,Cincinnati,OH,56105,Hamilton,28.913235,-123.071162,Multi Family,5,5.0,5541,9154,1982,42,291148.88,2021-05-24,1786,52.54,275337.34,2023,3313.29,Amanda Sanchez,False,OH-HA-71261,119.72,Within band
P-100029,10029,"8851 Oak Ave, Jacksonville, FL 61645",8851 Oak Ave,,Jacksonville,FL,61645,Duval,36.685159,-99.319021,Single Family,6,4.0,1711,9275,1943,81,159222.01,2022-01-12,1553,93.06,143014.13,2023,1705.04,Ronald Harris,True,FL-DU-65255,138.34,Under-assessed
P-100030,10030,"1441 Riverside Dr, Apt 19B, Raleigh, NC 12540",1441 Riverside Dr,Apt 19B,Raleigh,NC,12540,Wake,40.849143,-152.468552,Townhouse,2,1.5,5939,6598,2016,8,144203.4,2023-07-06,1013,24.28,123987.27,2022,1916.35,Sarah Rodriguez,True,NC-WA-24993,129.09,Under-assessed
P-100031,10031,"4298 Meadow Ln, St. Louis, MO 31992",4298 Meadow Ln,,St. Louis,MO,31992,St. Louis,37.056156,-73.155077,Single Family,7,2.0,3148,4919,1994,30,140029.17,2022-10-14,1278,44.48,136211.84,2023,1738.04,Melissa Gonzalez,True,MO-ST-92213,127.4,Within band
P-100032,10032,"1769 Clearwater Ct, Apt 21D, Charlotte, NC 99687",1769 Clearwater Ct,Apt 21D,Charlotte,NC,99687,Mecklenburg,36.910908,-146.468209,Townhouse,7,1.0,3444,12172,1974,50,635986.65,2025-07-05,283,184.67,605324.61,2023,4934.5,Mark Young,True,NC-ME-57472,129.09,Within band
P-100033,10033,"7235 Washington Ave, Apt 20D, Queens, NY 78386",7235 Washington Ave,Apt 20D,Queens,NY,78386,Queens,46.585054,-133.502832,Condo,7,4.5,4408,11544,2013,11,2257047.59,2022-09-01,1321,512.03,2382345.21,2022,52411.59,Donald Thomas,False,NY-QU-84691,351.08,Within band
P-100034,10034,"570 Orchard Ln, Apt 23D, Nashville, TN 52600",570 Orchard Ln,Apt 23D,Nashville,TN,52600,Davidson,25.818756,-138.545573,Condo,3,3.0,5483,16971,1955,69,553517.0,2020-06-27,2117,100.95,600244.23,2022,6540.42,Mark Young,True,TN-DA-41499,138.25,Within band
P-100035,10035,"8141 Harbor View Blvd, Apt 24B, Boise, ID 12260",8141 Harbor View Blvd,Apt 24B,Boise,ID,12260,Ada,23.465914,-137.721113,Condo,3,3.5,4476,13544,1987,37,388130.77,2017-12-01,3056,86.71,374591.43,2023,6156.13,Karen Martin,True,ID-AD-25814,107.43,Within band
P-100036,10036,"2058 Washington Ave, Apt 2E, Las Vegas, NV 35105",2058 Washington Ave,Apt 2E,Las Vegas,NV,35105,Clark,26.734193,-114.874723,Townhouse,7,5.0,5488,10124,1932,92,769450.12,2022-12-17,1214,140.21,668071.18,2022,7767.8,Melissa Wright,True,NV-CL-15965,114.32,Under-assessed
P-100037,10037,"2168 Orchard Ln, Denver, CO 23446",2168 Orchard Ln,,Denver,CO,23446,Denver,44.127073,-107.056413,Single Family,4,4.5,3391,6411,1926,98,602974.07,2016-08-14,3530,177.82,568796.75,2022,7285.43,John Torres,False,CO-DE-17026,215.23,Within band
P-100038,10038,"2544 Clearwater Ct, Queens, NY 21164",2544 Clearwater Ct,,Queens,NY,21164,Queens,47.33883,-146.694714,Multi Family,5,2.5,4880,11112,1977,47,3220938.35,2022-12-13,1218,660.03,3407913.82,2023,74974.1,Michelle Brown,False,NY-QU-23006,515.98,Within band
P-100040,10040,"9763 Lincoln Rd, Durham, NC 65723",9763 Lincoln Rd,,Durham,NC,65723,Durham,24.041572,-137.441578,Single Family,3,2.0,1184,2161,1941,83,738250.28,2019-08-11,2438,623.52,756475.7,2024,14414.12,Donald Davis,True,NC-DU-49857,151.03,Within band
P-100041,10041,"4560 Birch St, Grand Rapids, MI 80776",4560 Birch St,,Grand Rapids,MI,80776,Kent,34.085573,-150.001559,Single Family,4,3.5,5545,9647,1923,101,191234.97,2018-09-21,2762,34.49,200947.33,2024,3023.35,Mary Carter,False,MI-KE-45325,152.83,Within band
P-100042,10042,"759 Washington Ave, Apt 10D, Lexington, KY 71669",759 Washington Ave,Apt 10D,Lexington,KY,71669,Fayette,34.752542,-118.526042,Condo,2,4.0,5800,13856,1931,93,486608.11,2021-09-14,1673,83.9,437943.66,2024,4053.26,William Perez,True,KY-FA-74942,141.41,Under-assessed
P-100043,10043,"701 Lakeshore Dr, Indianapolis, IN 21542",701 Lakeshore Dr,,Indianapolis,IN,21542,Marion,29.334705,-128.875181,Multi Family,7,5.0,609,11384,1989,35,480341.55,2025-09-03,223,788.74,411304.35,2023,6363.54,Dorothy Green,True,IN-MA-16764,141.14,Under-assessed
P-100044,10044,"4475 Lake Dr, Naperville, IL 47752",4475 Lake Dr,,Naperville,IL,47752,DuPage,32.610077,-96.252247,Single Family,1,2.5,6414,9008,1959,65,549654.43,2020-02-02,2263,85.7,506999.71,2022,10646.99,Linda Robinson,False,IL-DU-94896,104.35,Within band
P-100045,10045,"8265 Heritage Ln, Queens, NY 76698",8265 Heritage Ln,,Queens,NY,76698,Queens,39.693408,-120.85234,Single Family,4,2.5,4341,13372,1938,86,1619937.34,2019-07-24,2456,373.17,1542945.39,2022,33944.8,Karen Roberts,False,NY-QU-64387,408.84,Within band
P-100046,10046,"8418 Jackson Dr, Apt 19D, Nashville, TN 10336",8418 Jackson Dr,Apt 19D,Nashville,TN,10336,Davidson,28.495233,-131.025641,Townhouse,5,4.5,1817,9133,1988,36,497786.28,2022-07-22,1362,273.96,480650.1,2024,6020.87,Daniel Gonzalez,False,TN-DA-41300,80.48,Within band
P-100047,10047,"6830 Maple Dr, Tucson, AZ 51704",6830 Maple Dr,,Tucson,AZ,51704,Pima,40.734687,-95.645174,Multi Family,4,2.0,4657,5263,1936,88,511787.1,2019-08-31,2418,109.9,460402.86,2022,8512.98,Donald Miller,True,AZ-PI-69890,91.66,Under-assessed
P-100048,10048,"2461 Willow Way, Apt 20A, Houston, TX 95823",2461 Willow Way,Apt 20A,Houston,TX,95823,Harris,46.703855,-150.489942,Condo,3,4.0,5923,7238,1962,62,784826.24,2016-08-24,3520,132.5,753501.23,2023,15070.02,Ronald Young,False,TX-HA-14705,158.16,Within band
P-100049,10049,"4808 Madison Ave, Scottsdale, AZ 21846",4808 Madison Ave,,Scottsdale,AZ,21846,Maricopa,32.500244,-148.435448,Single Family,4,2.0,6285,11191,1923,101,155872.96,2017-05-09,3262,24.8,127322.61,2023,1591.29,Barbara Thomas,True,AZ-MA-84177,130.0,Under-assessed
P-100050,10050,"2885 Washington Ave, Apt 12E, Decatur, GA 20350",2885 Washington Ave,Apt 12E,Decatur,GA,20350,DeKalb,37.151532,-123.718646,Condo,4,2.0,2502,10057,2001,23,318102.32,2023-06-03,1046,127.14,318118.93,2023,5985.25,Amanda Wright,True,GA-DE-67898,139.77,Within band
P-100051,10051,"7051 Adams St, Aurora, CO 69878",7051 Adams St,,Aurora,CO,69878,Arapahoe,43.400554,-139.668121,Multi Family,7,4.5,1473,5359,1968,56,986307.23,2019-11-02,2355,669.59,876592.11,2024,10118.3,Brian Sanchez,True,CO-AR-84177,346.48,Under-assessed
P-100052,10052,"8238 Heritage Ln, Apt 2E, San Diego, CA 40162",8238 Heritage Ln,Apt 2E,San Diego,CA,40162,San Diego,37.087222,-126.348077,Condo,5,3.0,6152,17963,2018,6,2460503.7,2016-11-18,3434,399.95,2069366.71,2022,38988.62,Carol Williams,True,CA-SA-67779,453.06,Under-assessed
P-100053,10053,"2253 Pine Rd, Apt 15A, Columbus, OH 48680",2253 Pine Rd,Apt 15A,Columbus,OH,48680,Franklin,29.658057,-120.851231,Condo,2,5.0,3597,12294,1984,40,832519.84,2016-12-20,3402,231.45,707111.82,2023,13865.48,Charles Mitchell,False,OH-FR-25095,220.86,Under-assessed
P-100055,10055,"9298 Ridgewood Rd, San Antonio, TX 89964",9298 Ridgewood Rd,,San Antonio,TX,89964,Bexar,26.866231,-151.500117,Single Family,6,3.0,5918,12607,1934,90,229026.07,2025-11-12,153,38.7,204133.08,2023,4082.66,Sarah Wright,True,TX-BE-69459,115.36,Under-assessed
P-100056,10056,"8950 Willow Way, Cleveland, OH 86983",8950 Willow Way,,Cleveland,OH,86983,Cuyahoga,40.670129,-143.556507,Multi Family,6,1.5,4608,14694,1972,52,852461.39,2023-02-23,1146,185.0,690335.92,2023,7322.56,Donald Thomas,False,OH-CU-23022,119.72,Under-assessed
P-100057,10057,"9020 Hillcrest Ave, Cleveland, OH 17936",9020 Hillcrest Ave,,Cleveland,OH,17936,Cuyahoga,31.550701,-140.486655,Single Family,7,4.5,1350,12208,1947,77,620529.48,2019-08-03,2446,459.65,677201.19,2022,11811.43,Sarah Rodriguez,False,OH-CU-36896,208.92,Within band
P-100058,10058,"9180 Jefferson St, Apt 5A, Oakland, CA 86858",9180 Jefferson St,Apt 5A,Oakland,CA,86858,Alameda,26.722711,-81.336498,Townhouse,7,2.0,5482,5528,1955,69,3068138.69,2024-08-29,593,559.68,3363472.17,2024,37024.6,Susan Davis,False,CA-AL-13379,453.55,Within band
P-100059,10059,"3998 Ridgewood Rd, Knoxville, TN 12068",3998 Ridgewood Rd,,Knoxville,TN,12068,Knox,25.617524,-152.441285,Multi Family,5,1.5,1120,8922,1977,47,726853.29,2020-07-11,2103,648.98,710935.06,2023,9985.84,Michelle Williams,False,TN-KN-96363,191.41,Within band
P-100060,10060,"5041 Lakeshore Dr, Charleston, SC 94323",5041 Lakeshore Dr,,Charleston,SC,94323,Charleston,46.546694,-151.70819,Single Family,7,4.0,4092,15333,1933,91,502409.71,2021-04-23,1817,122.78,413004.5,2022,4900.44,Barbara Jones,True,SC-CH-91830,121.9,Under-assessed
P-100062,10062,"5653 Lakeshore Dr, Philadelphia, PA 62262",5653 Lakeshore Dr,,Philadelphia,PA,62262,Philadelphia,32.023726,-148.727532,Multi Family,3,3.0,3666,6166,2007,17,839928.33,2025-07-13,275,229.11,694929.35,2022,6336.89,Michael Mitchell,False,PA-PH-27054,221.23,Under-assessed
P-100063,10063,"1082 Valley View Dr, Fort Wayne, IN 97819",1082 Valley View Dr,,Fort Wayne,IN,97819,Allen,24.239129,-126.236967,Multi Family,7,1.0,2956,12793,1959,65,394284.02,2019-10-20,2368,133.38,375446.61,2022,5962.41,Joseph Miller,True,IN-AL-82910,141.14,Within band
P-100064,10064,"1982 Jackson Dr, Apt 28B, Cleveland, OH 85248",1982 Jackson Dr,Apt 28B,Cleveland,OH,85248,Cuyahoga,26.993216,-119.66722,Condo,7,5.0,815,10792,2004,20,766979.42,2023-04-14,1096,941.08,620245.48,2023,10192.11,Lisa Perez,True,OH-CU-33777,220.86,Under-assessed
P-100065,10065,"6666 Elm St, Louisville, KY 28595",6666 Elm St,,Louisville,KY,28595,Jefferson,40.63568,-72.452502,Single Family,6,5.0,2362,8525,1973,51,473843.72,2024-07-08,645,200.61,431679.18,2024,5133.79,Kenneth Hill,True,KY-JE-16895,133.33,Within band
P-100066,10066,"2679 Cedar Ln, Queens, NY 98338",2679 Cedar Ln,,Queens,NY,98338,Queens,23.16191,-118.449171,Multi Family,4,4.5,3992,8467,1947,77,2752576.59,2025-01-02,467,689.52,2487095.69,2022,54716.11,Amanda Nguyen,True,NY-QU-97442,515.98,Under-assessed
P-100067,10067,"844 Madison Ave, Apt 18C, Lakewood, CO 61807",844 Madison Ave,Apt 18C,Lakewood,CO,61807,Jefferson,47.08781,-152.23397,Condo,3,2.5,1724,5910,1957,67,693746.83,2026-03-13,32,402.41,658515.31,2023,6656.5,Anthony Wright,False,CO-JE-75570,256.52,Within band
P-100068,10068,"6605 Maple Dr, Apt 3D, Irvine, CA 67176",6605 Maple Dr,Apt 3D,Irvine,CA,67176,Orange,21.496651,-76.858868,Townhouse,5,4.0,5297,11923,2010,14,2402432.09,2023-01-14,1186,453.55,2004954.53,2022,39285.87,William Flores,True,CA-OR-57428,453.55,Under-assessed
P-100069,10069,"4086 Summit Rd, Apt 27B, Fort Lauderdale, FL 87184",4086 Summit Rd,Apt 27B,Fort Lauderdale,FL,87184,Broward,31.61192,-150.157703,Condo,6,3.5,2415,7871,2019,5,251143.51,2020-07-23,2091,103.99,248623.89,2024,3510.43,Stephanie Thompson,True,FL-BR-94599,145.87,Within band
P-100070,10070,"1784 Sunset Blvd, Scottsdale, AZ 43550",1784 Sunset Blvd,,Scottsdale,AZ,43550,Maricopa,26.227703,-104.591288,Single Family,2,4.5,4400,13636,2017,7,571985.11,2018-08-24,2790,130.0,616168.83,2024,9683.65,Michelle Lee,False,AZ-MA-92210,130.0,Within band
P-100071,10071,"2573 Harbor View Blvd, Apt 20E, Las Vegas, NV 18950",2573 Harbor View Blvd,Apt 20E,Las Vegas,NV,18950,Clark,33.426409,-102.069495,Condo,5,1.0,3483,11795,1929,95,362118.12,2021-03-19,1852,103.97,293779.98,2023,5282.27,John Adams,False,NV-CL-21835,116.76,Under-assessed
P-100072,10072,"6399 Lakeshore Dr, Boston, MA 86064",6399 Lakeshore Dr,,Boston,MA,86064,Suffolk,35.689384,-88.111852,Single Family,4,2.5,3233,13145,1980,44,1979170.27,2025-08-03,254,612.18,1850834.8,2023,36625.48,Jennifer Allen,False,MA-SU-15130,390.17,Within band
P-100073,10073,"7272 Harbor View Blvd, Apt 9E, Charlotte, NC 78690",7272 Harbor View Blvd,Apt 9E,Charlotte,NC,78690,Mecklenburg,34.852823,-143.18908,Townhouse,3,4.0,3948,9491,2006,18,586350.97,2017-06-07,3233,148.52,580057.06,2023,5099.25,Michael Scott,False,NC-ME-47243,129.09,Within band
P-100075,10075,"7037 Birch St, Apt 22C, Sacramento, CA 57425",7037 Birch St,Apt 22C,Sacramento,CA,57425,Sacramento,21.483109,-130.128652,Condo,3,4.5,2172,5883,1937,87,922582.78,2022-12-19,1212,424.76,971782.75,2022,13694.63,Andrew Mitchell,False,CA-SA-14947,453.06,Within band
P-100076,10076,"2247 Forest Glen Rd, Apt 18B, Omaha, NE 30218",2247 Forest Glen Rd,Apt 18B,Omaha,NE,30218,Douglas,25.299551,-84.67298,Townhouse,7,2.0,4185,4900,1972,52,404153.54,2018-03-19,2948,96.57,352122.43,2023,5397.03,Ronald Mitchell,False,NE-DO-40671,144.82,Under-assessed
P-100077,10077,"7784 Lincoln Rd, Lakewood, CO 58213",7784 Lincoln Rd,,Lakewood,CO,58213,Jefferson,38.975131,-107.373513,Single Family,4,3.0,3728,11967,1987,37,802392.99,2024-06-19,664,215.23,838554.73,2024,8101.09,Thomas Brown,False,CO-JE-58655,215.23,Within band
P-100078,10078,"1780 Park Way, Indianapolis, IN 47363",1780 Park Way,,Indianapolis,IN,47363,Marion,23.222691,-143.052827,Single Family,5,2.0,4183,5685,1948,76,757028.54,2016-05-12,3624,180.98,685016.6,2022,8890.67,Betty Allen,True,IN-MA-60615,248.46,Under-assessed
P-100080,10080,"2549 Summit Rd, Waukegan, IL 24573",2549 Summit Rd,,Waukegan,IL,24573,Lake,41.568575,-136.3253,Single Family,1,2.5,4039,14507,2021,3,605792.24,2025-07-30,258,149.99,504780.85,2023,10600.4,Mary Green,True,IL-LA-41711,104.35,Under-assessed
P-100081,10081,"4872 Summit Rd, Manhattan, NY 10205",4872 Summit Rd,,Manhattan,NY,10205,New York,37.292454,-136.070911,Multi Family,2,1.5,4888,10796,1928,96,3357881.22,2020-03-07,2229,686.96,3197368.82,2024,70342.11,Anthony Walker,True,NY-NE-60709,515.98,Within band
P-100082,10082,"4255 Oak Ave, Cleveland, OH 56805",4255 Oak Ave,,Cleveland,OH,56805,Cuyahoga,41.89578,-127.002183,Single Family,7,3.5,1692,2418,1965,59,545890.72,2017-02-27,3333,322.63,541981.42,2024,7357.66,George Walker,False,OH-CU-27675,208.92,Within band
P-100083,10083,"7598 Maple Dr, Oakland, CA 48462",7598 Maple Dr,,Oakland,CA,48462,Alameda,26.342161,-88.173498,Single Family,3,3.0,4822,11346,1989,35,1893869.29,2025-11-15,150,392.76,1943085.79,2022,22215.94,Stephanie Brown,False,CA-AL-53506,449.01,Within band
P-100084,10084,"2139 Meadow Ln, Seattle, WA 67272",2139 Meadow Ln,,Seattle,WA,67272,King,44.571393,-92.33223,Multi Family,3,2.0,4664,16002,1983,41,1570408.13,2017-05-05,3266,336.71,1500969.01,2022,25103.67,Jennifer Ramirez,False,WA-KI-33652,434.64,Within band
P-100085,10085,"4913 Ridgewood Rd, Apt 3D, Provo, UT 23447",4913 Ridgewood Rd,Apt 3D,Provo,UT,23447,Utah,23.121826,-99.500028,Condo,4,4.0,1965,13266,1976,48,394206.65,2025-10-22,174,200.61,401319.84,2023,6171.58,Sandra Moore,False,UT-UT-17518,137.94,Within band
P-100086,10086,"8506 Broadway, Columbus, OH 14081",8506 Broadway,,Columbus,OH,14081,Franklin,24.783656,-104.141157,Single Family,1,2.0,1150,5016,2019,5,623227.04,2022-03-22,1484,541.94,570163.2,2024,4782.88,Barbara Baker,True,OH-FR-58623,208.92,Within band
P-100087,10087,"7373 Elm St, Apt 20C, Cleveland, OH 85225",7373 Elm St,Apt 20C,Cleveland,OH,85225,Cuyahoga,24.64892,-125.075354,Townhouse,6,3.0,2644,4502,1923,101,693826.39,2020-09-07,2045,262.42,662828.71,2024,6239.29,Stephanie Taylor,False,OH-CU-38124,148.98,Within band
P-100088,10088,"3379 Park Way, Fairfax, VA 27790",3379 Park Way,,Fairfax,VA,27790,Fairfax,43.599897,-117.672286,Single Family,1,3.5,6070,11762,2010,14,377926.89,2020-03-15,2221,62.26,335262.23,2023,6107.25,Melissa Rivera,False,VA-FA-93584,195.64,Under-assessed
P-100089,10089,"6022 Birch St, Atlanta, GA 39391",6022 Birch St,,Atlanta,GA,39391,Fulton,24.216105,-139.514708,Single Family,2,4.5,815,6727,1990,34,566376.38,2021-01-15,1915,694.94,589653.61,2024,5635.47,Jennifer Jones,True,GA-FU-72739,150.1,Within band
P-100090,10090,"6830 Willow Way, Columbia, SC 85353",6830 Willow Way,,Columbia,SC,85353,Richland,22.954394,-72.402963,Single Family,4,4.5,6171,14647,1964,60,220101.0,2016-12-26,3396,35.67,227601.8,2024,3426.19,Stephanie Rodriguez,True,SC-RI-17263,121.9,Within band
