"﻿property_id";"id";"full_address";"street_address";"unit";"city";"state";"zip_code";"county";"latitude";"longitude";"property_type";"bedrooms";"bathrooms";"sqft";"lot_size_sqft";"year_built";"building_age";"last_sale_price";"last_sale_date";"days_since_sale";"price_per_sqft";"assessed_value";"tax_year";"annual_tax";"owner_name";"owner_occupied";"assessor_id"
"P-100011";10011;"1645 River Blvd, Lawrenceville, GA 96374";"1645 River Blvd";"";"Lawrenceville";"GA";96374;"Gwinnett";32.422856;-120.14866;"Single Family";7;1.0;"6,116";"16,822";2002;22;"196,765.94";"2021-10-07";"1,650";32.17;"200,399.04";2022;"2,201.16";"Richard Wright";"TRUE";"GA-GW-65296"
"P-100012";10012;"4663 Lakeshore Dr, Apt 6D, Decatur, GA 42742";"4663 Lakeshore Dr";"Apt 6D";"Decatur";"GA";42742;"DeKalb";44.173878;-150.441515;"Condo";1;1.0;"5,942";"14,798";1921;103;"875,817.08";"2017-10-31";"3,087";147.39;"923,644.33";2022;"11,893.74";"Steven Wilson";"FALSE";"GA-DE-17685"
"P-100013";10013;"6496 Adams St, Apt 17E, Austin, TX 69638";"6496 Adams St";"Apt 17E";"Austin";"TX";69638;"Travis";28.559105;-96.396539;"Condo";6;4.5;"1,868";"4,979";1957;67;"289,806.70";"2025-08-17";"240";155.14;"282,200.46";2024;"5,644.01";"Daniel Brown";"TRUE";"TX-TR-72493"
"P-100014";10014;"1031 Birch St, Bronx, NY 20500";"1031 Birch St";"";"Bronx";"NY";20500;"Bronx";43.560577;-151.038644;"Single Family";6;2.5;"3,907";"5,871";1992;32;"1,200,956.81";"2019-08-13";"2,436";307.39;"975,083.85";2022;"21,451.84";"Donna Torres";"TRUE";"NY-BR-44179"
"P-100015";10015;"5247 Monroe Blvd, Apt 29A, Naperville, IL 44814";"5247 Monroe Blvd";"Apt 29A";"Naperville";"IL";44814;"DuPage";31.488325;-98.562951;"Condo";4;3.5;"1,194";"1,346";1978;46;"604,504.22";"2019-12-20";"2,307";506.28;"664,246.73";2022;"13,949.18";"Paul Taylor";"TRUE";"IL-DU-55745"
"P-100016";10016;"6154 Heritage Ln, Apt 10E, Charlotte, NC 30676";"6154 Heritage Ln";"Apt 10E";"Charlotte";"NC";30676;"Mecklenburg";32.611891;-109.740037;"Condo";5;5.0;"664";"11,606";1990;34;"353,515.43";"2018-11-04";"2,718";532.4;"293,798.17";2022;"3,282.78";"Michael Mitchell";"TRUE";"NC-ME-45697"
"P-100017";10017;"5717 Jefferson St, Apt 23D, Naperville, IL 93130";"5717 Jefferson St";"Apt 23D";"Naperville";"IL";93130;"DuPage";43.60219;-113.029412;"Condo";7;1.0;"1,356";"11,748";1974;50;"766,891.51";"2025-10-15";"181";565.55;"614,328.96";2022;"12,900.91";"Thomas Hernandez";"FALSE";"IL-DU-82309"
"P-100018";10018;"258 Park Way, Fort Wayne, IN 19862";"258 Park Way";"";"Fort Wayne";"IN";19862;"Allen";46.04385;-96.881293;"Single Family";5;1.0;"3,624";"13,167";1990;34;"235,513.15";"2024-11-07";"523";64.99;"191,365.89";2023;"3,595.34";"Robert Thompson";"TRUE";"IN-AL-42706"
"P-100019";10019;"5894 Willow Way, Apt 13A, Fort Lauderdale, FL 91351";"5894 Willow Way";"Apt 13A";"Fort Lauderdale";"FL";91351;"Broward";40.861157;-76.458547;"Condo";7;2.0;"2,050";"8,805";1923;101;"259,901.32";"2022-07-23";"1,361";126.78;"268,924.04";2023;"4,740.28";"Deborah Thomas";"TRUE";"FL-BR-24168"
"P-100020";10020;"3744 Lincoln Rd, Apt 11A, Rockville, MD 70332";"3744 Lincoln Rd";"Apt 11A";"Rockville";"MD";70332;"Montgomery";30.265948;-85.613335;"Condo";2;1.0;"6,006";"9,170";1971;53;"693,914.34";"2016-08-03";"3,541";115.54;"569,583.09";2023;"6,956.75";"Paul Sanchez";"FALSE";"MD-MO-80282"
"P-100021";10021;"4379 Washington Ave, Orlando, FL 86099";"4379 Washington Ave";"";"Orlando";"FL";86099;"Orange";46.507159;-133.904426;"Single Family";5;4.0;"3,431";"15,367";2020;4;"364,668.31";"2019-06-26";"2,484";106.29;"399,410.54";2022;"5,041.50";"Kenneth Gonzalez";"TRUE";"FL-OR-67154"
"P-100022";10022;"8618 Lincoln Rd, Apt 14D, Austin, TX 57739";"8618 Lincoln Rd";"Apt 14D";"Austin";"TX";57739;"Travis";32.429381;-74.44792;"Townhouse";5;3.5;"6,034";"8,075";2012;12;"822,036.53";"2020-08-05";"2,078";136.23;"733,902.21";2023;"14,678.04";"George Jackson";"TRUE";"TX-TR-35144"
"P-100023";10023;"9424 Clearwater Ct, Apt 17E, Atlanta, GA 63225";"9424 Clearwater Ct";"Apt 17E";"Atlanta";"GA";63225;"Fulton";35.520336;-156.964683;"Condo";2;4.0;"5,351";"15,290";2003;21;"371,354.40";"2021-04-30";"1,810";69.4;"346,342.92";2022;"4,895.24";"Deborah Hernandez";"FALSE";"GA-FU-47196"
"P-100024";10024;"1630 Monroe Blvd, Reno, NV 98184";"1630 Monroe Blvd";"";"Reno";"NV";98184;"Washoe";29.226116;-86.829028;"Single Family";1;1.0;"2,605";"10,389";1998;26;"782,795.40";"2025-06-19";"299";300.5;"733,185.62";2024;"10,930.37";"Melissa Hall";"TRUE";"NV-WA-62383"
"P-100025";10025;"2517 Main St, Apt 20E, Charlotte, NC 23970";"2517 Main St";"Apt 20E";"Charlotte";"NC";23970;"Mecklenburg";41.628141;-137.960821;"Condo";4;1.0;"5,166";"9,248";1935;89;"476,040.22";"2017-04-18";"3,283";92.15;"447,188.84";2024;"8,878.80";"Joshua Lee";"FALSE";"NC-ME-68008"
"P-100026";10026;"9076 Harbor View Blvd, Apt 11E, Minneapolis, MN 30861";"9076 Harbor View Blvd";"Apt 11E";"Minneapolis";"MN";30861;"Hennepin";40.706869;-115.703324;"Condo";7;2.5;"5,823";"10,366";2018;6;"726,586.37";"2020-11-06";"1,985";124.78;"717,885.16";2023;"9,532.42";"Melissa Jackson";"TRUE";"MN-HE-54020"
"P-100027";10027;"2367 Sunset Blvd, Apt 28E, San Francisco, CA 40311";"2367 Sunset Blvd";"Apt 28E";"San Francisco";"CA";40311;"San Francisco";31.150435;-143.705942;"Condo";1;4.0;"3,939";"9,360";1989;35;"1,871,069.13";"2025-08-01";"256";475.01;"1,612,955.74";2023;"20,442.15";"Stephanie Nguyen";"FALSE";"CA-SA-12560"
"P-100028";10028;"7914 Main St, Cincinnati, OH 56105";"7914 Main St";"";"Cincinnati";"OH";56105;"Hamilton";28.913235;-123.071162;"Multi Family";5;5.0;"5,541";"9,154";1982;42;"291,148.88";"2021-05-24";"1,786";52.54;"275,337.34";2023;"3,313.29";"Amanda Sanchez";"FALSE";"OH-HA-71261"
"P-100029";10029;"8851 Oak Ave, Jacksonville, FL 61645";"8851 Oak Ave";"";"Jacksonville";"FL";61645;"Duval";36.685159;-99.319021;"Single Family";6;4.0;"1,711";"9,275";1943;81;"159,222.01";"2022-01-12";"1,553";93.06;"143,014.13";2023;"1,705.04";"Ronald Harris";"TRUE";"FL-DU-65255"
"P-100030";10030;"1441 Riverside Dr, Apt 19B, Raleigh, NC 12540";"1441 Riverside Dr";"Apt 19B";"Raleigh";"NC";12540;"Wake";40.849143;-152.468552;"Townhouse";2;1.5;"5,939";"6,598";2016;8;"144,203.40";"2023-07-06";"1,013";24.28;"123,987.27";2022;"1,916.35";"Sarah Rodriguez";"TRUE";"NC-WA-24993"
"P-100031";10031;"4298 Meadow Ln, St. Louis, MO 31992";"4298 Meadow Ln";"";"St. Louis";"MO";31992;"St. Louis";37.056156;-73.155077;"Single Family";7;2.0;"3,148";"4,919";1994;30;"140,029.17";"2022-10-14";"1,278";44.48;"136,211.84";2023;"1,738.04";"Melissa Gonzalez";"TRUE";"MO-ST-92213"
"P-100032";10032;"1769 Clearwater Ct, Apt 21D, Charlotte, NC 99687";"1769 Clearwater Ct";"Apt 21D";"Charlotte";"NC";99687;"Mecklenburg";36.910908;-146.468209;"Townhouse";7;1.0;"3,444";"12,172";1974;50;"635,986.65";"2025-07-05";"283";184.67;"605,324.61";2023;"4,934.50";"Mark Young";"TRUE";"NC-ME-57472"
"P-100033";10033;"7235 Washington Ave, Apt 20D, Queens, NY 78386";"7235 Washington Ave";"Apt 20D";"Queens";"NY";78386;"Queens";46.585054;-133.502832;"Condo";7;4.5;"4,408";"11,544";2013;11;"2,257,047.59";"2022-09-01";"1,321";512.03;"2,382,345.21";2022;"52,411.59";"Donald Thomas";"FALSE";"NY-QU-84691"
"P-100034";10034;"570 Orchard Ln, Apt 23D, Nashville, TN 52600";"570 Orchard Ln";"Apt 23D";"Nashville";"TN";52600;"Davidson";25.818756;-138.545573;"Condo";3;3.0;"5,483";"16,971";1955;69;"553,517.00";"2020-06-27";"2,117";100.95;"600,244.23";2022;"6,540.42";"Mark Young";"TRUE";"TN-DA-41499"
"P-100035";10035;"8141 Harbor View Blvd, Apt 24B, Boise, ID 12260";"8141 Harbor View Blvd";"Apt 24B";"Boise";"ID";12260;"Ada";23.465914;-137.721113;"Condo";3;3.5;"4,476";"13,544";1987;37;"388,130.77";"2017-12-01";"3,056";86.71;"374,591.43";2023;"6,156.13";"Karen Martin";"TRUE";"ID-AD-25814"
"P-100036";10036;"2058 Washington Ave, Apt 2E, Las Vegas, NV 35105";"2058 Washington Ave";"Apt 2E";"Las Vegas";"NV";35105;"Clark";26.734193;-114.874723;"Townhouse";7;5.0;"5,488";"10,124";1932;92;"769,450.12";"2022-12-17";"1,214";140.21;"668,071.18";2022;"7,767.80";"Melissa Wright";"TRUE";"NV-CL-15965"
"P-100037";10037;"2168 Orchard Ln, Denver, CO 23446";"2168 Orchard Ln";"";"Denver";"CO";23446;"Denver";44.127073;-107.056413;"Single Family";4;4.5;"3,391";"6,411";1926;98;"602,974.07";"2016-08-14";"3,530";177.82;"568,796.75";2022;"7,285.43";"John Torres";"FALSE";"CO-DE-17026"
"P-100038";10038;"2544 Clearwater Ct, Queens, NY 21164";"2544 Clearwater Ct";"";"Queens";"NY";21164;"Queens";47.33883;-146.694714;"Multi Family";5;2.5;"4,880";"11,112";1977;47;"3,220,938.35";"2022-12-13";"1,218";660.03;"3,407,913.82";2023;"74,974.10";"Michelle Brown";"FALSE";"NY-QU-23006"
"P-100040";10040;"9763 Lincoln Rd, Durham, NC 65723";"9763 Lincoln Rd";"";"Durham";"NC";65723;"Durham";24.041572;-137.441578;"Single Family";3;2.0;"1,184";"2,161";1941;83;"738,250.28";"2019-08-11";"2,438";623.52;"756,475.70";2024;"14,414.12";"Donald Davis";"TRUE";"NC-DU-49857"
"P-100041";10041;"4560 Birch St, Grand Rapids, MI 80776";"4560 Birch St";"";"Grand Rapids";"MI";80776;"Kent";34.085573;-150.001559;"Single Family";4;3.5;"5,545";"9,647";1923;101;"191,234.97";"2018-09-21";"2,762";34.49;"200,947.33";2024;"3,023.35";"Mary Carter";"FALSE";"MI-KE-45325"
"P-100042";10042;"759 Washington Ave, Apt 10D, Lexington, KY 71669";"759 Washington Ave";"Apt 10D";"Lexington";"KY";71669;"Fayette";34.752542;-118.526042;"Condo";2;4.0;"5,800";"13,856";1931;93;"486,608.11";"2021-09-14";"1,673";83.9;"437,943.66";2024;"4,053.26";"William Perez";"TRUE";"KY-FA-74942"
"P-100043";10043;"701 Lakeshore Dr, Indianapolis, IN 21542";"701 Lakeshore Dr";"";"Indianapolis";"IN";21542;"Marion";29.334705;-128.875181;"Multi Family";7;5.0;"609";"11,384";1989;35;"480,341.55";"2025-09-03";"223";788.74;"411,304.35";2023;"6,363.54";"Dorothy Green";"TRUE";"IN-MA-16764"
"P-100044";10044;"4475 Lake Dr, Naperville, IL 47752";"4475 Lake Dr";"";"Naperville";"IL";47752;"DuPage";32.610077;-96.252247;"Single Family";1;2.5;"6,414";"9,008";1959;65;"549,654.43";"2020-02-02";"2,263";85.7;"506,999.71";2022;"10,646.99";"Linda Robinson";"FALSE";"IL-DU-94896"
"P-100045";10045;"8265 Heritage Ln, Queens, NY 76698";"8265 Heritage Ln";"";"Queens";"NY";76698;"Queens";39.693408;-120.85234;"Single Family";4;2.5;"4,341";"13,372";1938;86;"1,619,937.34";"2019-07-24";"2,456";373.17;"1,542,945.39";2022;"33,944.80";"Karen Roberts";"FALSE";"NY-QU-64387"
"P-100046";10046;"8418 Jackson Dr, Apt 19D, Nashville, TN 10336";"8418 Jackson Dr";"Apt 19D";"Nashville";"TN";10336;"Davidson";28.495233;-131.025641;"Townhouse";5;4.5;"1,817";"9,133";1988;36;"497,786.28";"2022-07-22";"1,362";273.96;"480,650.10";2024;"6,020.87";"Daniel Gonzalez";"FALSE";"TN-DA-41300"
"P-100047";10047;"6830 Maple Dr, Tucson, AZ 51704";"6830 Maple Dr";"";"Tucson";"AZ";51704;"Pima";40.734687;-95.645174;"Multi Family";4;2.0;"4,657";"5,263";1936;88;"511,787.10";"2019-08-31";"2,418";109.9;"460,402.86";2022;"8,512.98";"Donald Miller";"TRUE";"AZ-PI-69890"
"P-100048";10048;"2461 Willow Way, Apt 20A, Houston, TX 95823";"2461 Willow Way";"Apt 20A";"Houston";"TX";95823;"Harris";46.703855;-150.489942;"Condo";3;4.0;"5,923";"7,238";1962;62;"784,826.24";"2016-08-24";"3,520";132.5;"753,501.23";2023;"15,070.02";"Ronald Young";"FALSE";"TX-HA-14705"
"P-100049";10049;"4808 Madison Ave, Scottsdale, AZ 21846";"4808 Madison Ave";"";"Scottsdale";"AZ";21846;"Maricopa";32.500244;-148.435448;"Single Family";4;2.0;"6,285";"11,191";1923;101;"155,872.96";"2017-05-09";"3,262";24.8;"127,322.61";2023;"1,591.29";"Barbara Thomas";"TRUE";"AZ-MA-84177"
"P-100050";10050;"2885 Washington Ave, Apt 12E, Decatur, GA 20350";"2885 Washington Ave";"Apt 12E";"Decatur";"GA";20350;"DeKalb";37.151532;-123.718646;"Condo";4;2.0;"2,502";"10,057";2001;23;"318,102.32";"2023-06-03";"1,046";127.14;"318,118.93";2023;"5,985.25";"Amanda Wright";"TRUE";"GA-DE-67898"
"P-100051";10051;"7051 Adams St, Aurora, CO 69878";"7051 Adams St";"";"Aurora";"CO";69878;"Arapahoe";43.400554;-139.668121;"Multi Family";7;4.5;"1,473";"5,359";1968;56;"986,307.23";"2019-11-02";"2,355";669.59;"876,592.11";2024;"10,118.30";"Brian Sanchez";"TRUE";"CO-AR-84177"
"P-100052";10052;"8238 Heritage Ln, Apt 2E, San Diego, CA 40162";"8238 Heritage Ln";"Apt 2E";"San Diego";"CA";40162;"San Diego";37.087222;-126.348077;"Condo";5;3.0;"6,152";"17,963";2018;6;"2,460,503.70";"2016-11-18";"3,434";399.95;"2,069,366.71";2022;"38,988.62";"Carol Williams";"TRUE";"CA-SA-67779"
"P-100053";10053;"2253 Pine Rd, Apt 15A, Columbus, OH 48680";"2253 Pine Rd";"Apt 15A";"Columbus";"OH";48680;"Franklin";29.658057;-120.851231;"Condo";2;5.0;"3,597";"12,294";1984;40;"832,519.84";"2016-12-20";"3,402";231.45;"707,111.82";2023;"13,865.48";"Charles Mitchell";"FALSE";"OH-FR-25095"
"P-100055";10055;"9298 Ridgewood Rd, San Antonio, TX 89964";"9298 Ridgewood Rd";"";"San Antonio";"TX";89964;"Bexar";26.866231;-151.500117;"Single Family";6;3.0;"5,918";"12,607";1934;90;"229,026.07";"2025-11-12";"153";38.7;"204,133.08";2023;"4,082.66";"Sarah Wright";"TRUE";"TX-BE-69459"
"P-100056";10056;"8950 Willow Way, Cleveland, OH 86983";"8950 Willow Way";"";"Cleveland";"OH";86983;"Cuyahoga";40.670129;-143.556507;"Multi Family";6;1.5;"4,608";"14,694";1972;52;"852,461.39";"2023-02-23";"1,146";185.0;"690,335.92";2023;"7,322.56";"Donald Thomas";"FALSE";"OH-CU-23022"
"P-100057";10057;"9020 Hillcrest Ave, Cleveland, OH 17936";"9020 Hillcrest Ave";"";"Cleveland";"OH";17936;"Cuyahoga";31.550701;-140.486655;"Single Family";7;4.5;"1,350";"12,208";1947;77;"620,529.48";"2019-08-03";"2,446";459.65;"677,201.19";2022;"11,811.43";"Sarah Rodriguez";"FALSE";"OH-CU-36896"
"P-100058";10058;"9180 Jefferson St, Apt 5A, Oakland, CA 86858";"9180 Jefferson St";"Apt 5A";"Oakland";"CA";86858;"Alameda";26.722711;-81.336498;"Townhouse";7;2.0;"5,482";"5,528";1955;69;"3,068,138.69";"2024-08-29";"593";559.68;"3,363,472.17";2024;"37,024.60";"Susan Davis";"FALSE";"CA-AL-13379"
"P-100059";10059;"3998 Ridgewood Rd, Knoxville, TN 12068";"3998 Ridgewood Rd";"";"Knoxville";"TN";12068;"Knox";25.617524;-152.441285;"Multi Family";5;1.5;"1,120";"8,922";1977;47;"726,853.29";"2020-07-11";"2,103";648.98;"710,935.06";2023;"9,985.84";"Michelle Williams";"FALSE";"TN-KN-96363"
"P-100060";10060;"5041 Lakeshore Dr, Charleston, SC 94323";"5041 Lakeshore Dr";"";"Charleston";"SC";94323;"Charleston";46.546694;-151.70819;"Single Family";7;4.0;"4,092";"15,333";1933;91;"502,409.71";"2021-04-23";"1,817";122.78;"413,004.50";2022;"4,900.44";"Barbara Jones";"TRUE";"SC-CH-91830"
"P-100062";10062;"5653 Lakeshore Dr, Philadelphia, PA 62262";"5653 Lakeshore Dr";"";"Philadelphia";"PA";62262;"Philadelphia";32.023726;-148.727532;"Multi Family";3;3.0;"3,666";"6,166";2007;17;"839,928.33";"2025-07-13";"275";229.11;"694,929.35";2022;"6,336.89";"Michael Mitchell";"FALSE";"PA-PH-27054"
"P-100063";10063;"1082 Valley View Dr, Fort Wayne, IN 97819";"1082 Valley View Dr";"";"Fort Wayne";"IN";97819;"Allen";24.239129;-126.236967;"Multi Family";7;1.0;"2,956";"12,793";1959;65;"394,284.02";"2019-10-20";"2,368";133.38;"375,446.61";2022;"5,962.41";"Joseph Miller";"TRUE";"IN-AL-82910"
"P-100064";10064;"1982 Jackson Dr, Apt 28B, Cleveland, OH 85248";"1982 Jackson Dr";"Apt 28B";"Cleveland";"OH";85248;"Cuyahoga";26.993216;-119.66722;"Condo";7;5.0;"815";"10,792";2004;20;"766,979.42";"2023-04-14";"1,096";941.08;"620,245.48";2023;"10,192.11";"Lisa Perez";"TRUE";"OH-CU-33777"
"P-100065";10065;"6666 Elm St, Louisville, KY 28595";"6666 Elm St";"";"Louisville";"KY";28595;"Jefferson";40.63568;-72.452502;"Single Family";6;5.0;"2,362";"8,525";1973;51;"473,843.72";"2024-07-08";"645";200.61;"431,679.18";2024;"5,133.79";"Kenneth Hill";"TRUE";"KY-JE-16895"
"P-100066";10066;"2679 Cedar Ln, Queens, NY 98338";"2679 Cedar Ln";"";"Queens";"NY";98338;"Queens";23.16191;-118.449171;"Multi Family";4;4.5;"3,992";"8,467";1947;77;"2,752,576.59";"2025-01-02";"467";689.52;"2,487,095.69";2022;"54,716.11";"Amanda Nguyen";"TRUE";"NY-QU-97442"
"P-100067";10067;"844 Madison Ave, Apt 18C, Lakewood, CO 61807";"844 Madison Ave";"Apt 18C";"Lakewood";"CO";61807;"Jefferson";47.08781;-152.23397;"Condo";3;2.5;"1,724";"5,910";1957;67;"693,746.83";"2026-03-13";"32";402.41;"658,515.31";2023;"6,656.50";"Anthony Wright";"FALSE";"CO-JE-75570"
"P-100068";10068;"6605 Maple Dr, Apt 3D, Irvine, CA 67176";"6605 Maple Dr";"Apt 3D";"Irvine";"CA";67176;"Orange";21.496651;-76.858868;"Townhouse";5;4.0;"5,297";"11,923";2010;14;"2,402,432.09";"2023-01-14";"1,186";453.55;"2,004,954.53";2022;"39,285.87";"William Flores";"TRUE";"CA-OR-57428"
"P-100069";10069;"4086 Summit Rd, Apt 27B, Fort Lauderdale, FL 87184";"4086 Summit Rd";"Apt 27B";"Fort Lauderdale";"FL";87184;"Broward";31.61192;-150.157703;"Condo";6;3.5;"2,415";"7,871";2019;5;"251,143.51";"2020-07-23";"2,091";103.99;"248,623.89";2024;"3,510.43";"Stephanie Thompson";"TRUE";"FL-BR-94599"
"P-100070";10070;"1784 Sunset Blvd, Scottsdale, AZ 43550";"1784 Sunset Blvd";"";"Scottsdale";"AZ";43550;"Maricopa";26.227703;-104.591288;"Single Family";2;4.5;"4,400";"13,636";2017;7;"571,985.11";"2018-08-24";"2,790";130.0;"616,168.83";2024;"9,683.65";"Michelle Lee";"FALSE";"AZ-MA-92210"
"P-100071";10071;"2573 Harbor View Blvd, Apt 20E, Las Vegas, NV 18950";"2573 Harbor View Blvd";"Apt 20E";"Las Vegas";"NV";18950;"Clark";33.426409;-102.069495;"Condo";5;1.0;"3,483";"11,795";1929;95;"362,118.12";"2021-03-19";"1,852";103.97;"293,779.98";2023;"5,282.27";"John Adams";"FALSE";"NV-CL-21835"
"P-100072";10072;"6399 Lakeshore Dr, Boston, MA 86064";"6399 Lakeshore Dr";"";"Boston";"MA";86064;"Suffolk";35.689384;-88.111852;"Single Family";4;2.5;"3,233";"13,145";1980;44;"1,979,170.27";"2025-08-03";"254";612.18;"1,850,834.80";2023;"36,625.48";"Jennifer Allen";"FALSE";"MA-SU-15130"
"P-100073";10073;"7272 Harbor View Blvd, Apt 9E, Charlotte, NC 78690";"7272 Harbor View Blvd";"Apt 9E";"Charlotte";"NC";78690;"Mecklenburg";34.852823;-143.18908;"Townhouse";3;4.0;"3,948";"9,491";2006;18;"586,350.97";"2017-06-07";"3,233";148.52;"580,057.06";2023;"5,099.25";"Michael Scott";"FALSE";"NC-ME-47243"
"P-100075";10075;"7037 Birch St, Apt 22C, Sacramento, CA 57425";"7037 Birch St";"Apt 22C";"Sacramento";"CA";57425;"Sacramento";21.483109;-130.128652;"Condo";3;4.5;"2,172";"5,883";1937;87;"922,582.78";"2022-12-19";"1,212";424.76;"971,782.75";2022;"13,694.63";"Andrew Mitchell";"FALSE";"CA-SA-14947"
"P-100076";10076;"2247 Forest Glen Rd, Apt 18B, Omaha, NE 30218";"2247 Forest Glen Rd";"Apt 18B";"Omaha";"NE";30218;"Douglas";25.299551;-84.67298;"Townhouse";7;2.0;"4,185";"4,900";1972;52;"404,153.54";"2018-03-19";"2,948";96.57;"352,122.43";2023;"5,397.03";"Ronald Mitchell";"FALSE";"NE-DO-40671"
"P-100077";10077;"7784 Lincoln Rd, Lakewood, CO 58213";"7784 Lincoln Rd";"";"Lakewood";"CO";58213;"Jefferson";38.975131;-107.373513;"Single Family";4;3.0;"3,728";"11,967";1987;37;"802,392.99";"2024-06-19";"664";215.23;"838,554.73";2024;"8,101.09";"Thomas Brown";"FALSE";"CO-JE-58655"
"P-100078";10078;"1780 Park Way, Indianapolis, IN 47363";"1780 Park Way";"";"Indianapolis";"IN";47363;"Marion";23.222691;-143.052827;"Single Family";5;2.0;"4,183";"5,685";1948;76;"757,028.54";"2016-05-12";"3,624";180.98;"685,016.60";2022;"8,890.67";"Betty Allen";"TRUE";"IN-MA-60615"
"P-100080";10080;"2549 Summit Rd, Waukegan, IL 24573";"2549 Summit Rd";"";"Waukegan";"IL";24573;"Lake";41.568575;-136.3253;"Single Family";1;2.5;"4,039";"14,507";2021;3;"605,792.24";"2025-07-30";"258";149.99;"504,780.85";2023;"10,600.40";"Mary Green";"TRUE";"IL-LA-41711"
"P-100081";10081;"4872 Summit Rd, Manhattan, NY 10205";"4872 Summit Rd";"";"Manhattan";"NY";10205;"New York";37.292454;-136.070911;"Multi Family";2;1.5;"4,888";"10,796";1928;96;"3,357,881.22";"2020-03-07";"2,229";686.96;"3,197,368.82";2024;"70,342.11";"Anthony Walker";"TRUE";"NY-NE-60709"
